Time,iL1,iL2,V3,V1,vC1,vC2
7.5e-005,7.0802,0.0591903,0.75,0,1.91921,1.85344
7.6e-005,7.16851,0.0629641,0.76,0,1.99045,1.9203
7.7e-005,7.25655,0.0668725,0.77,0,2.06257,1.98787
7.8e-005,7.34431,0.0709166,0.78,0,2.13558,2.05614
7.9e-005,7.43178,0.075098,0.79,0,2.20946,2.12511
8e-005,7.51897,0.079418,0.8,0,2.28421,2.19477
8.1e-005,7.60587,0.0838781,0.81,0,2.35984,2.26512
8.2e-005,7.69247,0.0884795,0.82,0,2.43633,2.33615
8.3e-005,7.77877,0.0932236,0.83,0,2.51368,2.40785
8.4e-005,7.86478,0.0981119,0.84,0,2.5919,2.48022
8.5e-005,7.95048,0.103146,0.85,0,2.67098,2.55326
8.6e-005,8.03588,0.108326,0.86,0,2.75091,2.62695
8.7e-005,8.12097,0.113654,0.87,0,2.83169,2.7013
8.8e-005,8.20575,0.119132,0.88,0,2.91333,2.77629
8.9e-005,8.29021,0.12476,0.89,0,2.99581,2.85193
9e-005,8.37435,0.130541,0.9,0,3.07913,2.92819
9.1e-005,8.45818,0.136474,0.91,0,3.16329,3.00509
9.2e-005,8.54168,0.142562,0.92,0,3.24829,3.0826
9.3e-005,8.62485,0.148806,0.93,0,3.33413,3.16073
9.4e-005,8.7077,0.155206,0.94,0,3.42079,3.23948
9.5e-005,8.79021,0.161764,0.95,0,3.50828,3.31882
9.6e-005,8.87239,0.168482,0.96,0,3.59659,3.39877
9.7e-005,8.95423,0.17536,0.97,0,3.68572,3.4793
9.8e-005,9.03573,0.1824,0.98,0,3.77567,3.56042
9.9e-005,9.11688,0.189603,0.99,0,3.86644,3.64213
0.0001,9.19769,0.19697,1,0,3.95801,3.7244
0.000101,9.27815,0.204502,0.99,0,4.05039,3.80724
0.000102,9.35826,0.2122,0.98,0,4.14357,3.89064
0.000103,9.43801,0.220065,0.97,0,4.23755,3.97459
0.000104,9.51741,0.228099,0.96,0,4.33233,4.0591
0.000105,9.59644,0.236302,0.95,0,4.4279,4.14414
0.000106,9.67512,0.244676,0.94,0,4.52426,4.22972
0.000107,9.75343,0.253222,0.93,0,4.6214,4.31583
0.000108,9.83137,0.261941,0.92,0,4.71932,4.40246
0.000109,9.90894,0.270833,0.91,0,4.81802,4.4896
0.00011,9.98613,0.2799,0.9,0,4.9175,4.57726
0.000111,10.063,0.289143,0.89,0,5.01775,4.66542
0.000112,10.1394,0.298562,0.88,0,5.11876,4.75407
0.000113,10.2155,0.30816,0.87,0,5.22053,4.84321
0.000114,10.2911,0.317936,0.86,0,5.32306,4.93284
0.000115,10.3664,0.327892,0.85,0,5.42635,5.02294
0.000116,10.4413,0.338029,0.84,0,5.53039,5.11351
0.000117,10.5159,0.348347,0.83,0,5.63518,5.20455
0.000118,10.59,0.358848,0.82,0,5.74071,5.29604
0.000119,10.6637,0.369532,0.81,0,5.84697,5.38799
0.00012,10.737,0.380401,0.8,0,5.95398,5.48037
0.000121,10.81,0.391454,0.79,0,6.06171,5.57319
0.000122,10.8825,0.402694,0.78,0,6.17018,5.66645
0.000123,10.9546,0.414121,0.77,0,6.27936,5.76012
0.000124,11.0263,0.425736,0.76,0,6.38927,5.85421
0.000125,11.0976,0.437539,0.75,0,6.49989,5.94871
0.000126,11.1685,0.449531,0.74,0,6.61122,6.04362
0.000127,11.239,0.461714,0.73,0,6.72326,6.13892
0.000128,11.3091,0.474088,0.72,0,6.836,6.2346
0.000129,11.3787,0.486653,0.71,0,6.94944,6.33067
0.00013,11.448,0.499411,0.7,0,7.06357,6.42712
0.000131,11.5168,0.512363,0.69,0,7.17839,6.52393
0.000132,11.5852,0.525508,0.68,0,7.2939,6.62111
0.000133,11.6531,0.538848,0.67,0,7.41009,6.71864
0.000134,11.7206,0.552383,0.66,0,7.52696,6.81652
0.000135,11.7877,0.566115,0.65,0,7.6445,6.91473
0.000136,11.8544,0.580043,0.64,0,7.76272,7.01329
0.000137,11.9206,0.594169,0.63,0,7.88159,7.11216
0.000138,11.9864,0.608492,0.62,0,8.00113,7.21136
0.000139,12.0518,0.623015,0.61,0,8.12132,7.31087
0.00014,12.1167,0.637737,0.6,0,8.24216,7.41069
0.000141,12.1812,0.652658,0.59,0,8.36365,7.51081
0.000142,12.2452,0.66778,0.58,0,8.48578,7.61121
0.000143,12.3088,0.683104,0.57,0,8.60855,7.71191
0.000144,12.3719,0.698629,0.56,0,8.73195,7.81288
0.000145,12.4346,0.714356,0.55,0,8.85599,7.91412
0.000146,12.4968,0.730286,0.54,0,8.98064,8.01562
0.000147,12.5586,0.746419,0.53,0,9.10592,8.11738
0.000148,12.6199,0.762756,0.52,0,9.23181,8.21939
0.000149,12.6808,0.779298,0.51,0,9.35832,8.32165
0.00015,12.7412,0.796044,0.5,0,9.48543,8.42413
0.000151,12.8012,0.812995,0.49,0,9.61314,8.52685
0.000152,12.8607,0.830152,0.48,0,9.74145,8.62979
0.000153,12.9197,0.847515,0.47,0,9.87035,8.73294
0.000154,12.9782,0.865084,0.46,0,9.99984,8.83629
0.000155,13.0363,0.882861,0.45,0,10.1299,8.93985
0.000156,13.094,0.900844,0.44,0,10.2606,9.0436
0.000157,13.1511,0.919036,0.43,0,10.3918,9.14753
0.000158,13.2078,0.937435,0.42,0,10.5236,9.25165
0.000159,13.264,0.956043,0.41,0,10.6559,9.35593
0.00016,13.3198,0.974859,0.4,0,10.7889,9.46038
0.000161,13.4158,0.953268,0.39,1,10.7984,9.44149
0.000162,13.5118,0.931657,0.38,1,10.8078,9.42263
0.000163,13.6078,0.910032,0.37,1,10.817,9.40381
0.000164,13.7038,0.888389,0.36,1,10.826,9.38502
0.000165,13.7998,0.866729,0.35,1,10.8348,9.36627
0.000166,13.8958,0.845051,0.34,1,10.8434,9.34755
0.000167,13.9918,0.823356,0.33,1,10.8517,9.32888
0.000168,14.0878,0.801645,0.32,1,10.8598,9.31024
0.000169,14.1838,0.779918,0.31,1,10.8677,9.29164
0.00017,14.2798,0.758175,0.3,1,10.8754,9.27307
0.000171,14.3758,0.736417,0.29,1,10.8829,9.25454
0.000172,14.4718,0.714644,0.28,1,10.8901,9.23605
0.000173,14.5678,0.692857,0.27,1,10.8972,9.2176
0.000174,14.6638,0.671056,0.26,1,10.904,9.19918
0.000175,14.7598,0.649242,0.25,1,10.9106,9.1808
0.000176,14.8558,0.627414,0.24,1,10.917,9.16246
0.000177,14.9518,0.605574,0.23,1,10.9232,9.14415
0.000178,15.0478,0.583722,0.22,1,10.9291,9.12588
0.000179,15.1438,0.561859,0.21,1,10.9348,9.10765
0.00018,15.2398,0.539984,0.2,1,10.9403,9.08945
0.000181,15.3358,0.518098,0.19,1,10.9456,9.07129
0.000182,15.4318,0.496202,0.18,1,10.9507,9.05317
0.000183,15.5278,0.474296,0.17,1,10.9556,9.03508
0.000184,15.6238,0.452381,0.16,1,10.9602,9.01703
0.000185,15.7197,0.430456,0.15,1,10.9646,8.99901
0.000186,15.8157,0.408523,0.14,1,10.9688,8.98103
0.000187,15.9117,0.386582,0.13,1,10.9728,8.96309
0.000188,16.0077,0.364633,0.12,1,10.9765,8.94518
0.000189,16.1037,0.342677,0.11,1,10.9801,8.9273
0.00019,16.1997,0.320714,0.1,1,10.9834,8.90947
0.000191,16.2957,0.298744,0.09,1,10.9865,8.89167
0.000192,16.3917,0.276769,0.08,1,10.9894,8.8739
0.000193,16.4877,0.254788,0.07,1,10.992,8.85617
0.000194,16.5837,0.232801,0.06,1,10.9945,8.83848
0.000195,16.6797,0.210811,0.05,1,10.9967,8.82082
0.000196,16.7757,0.188816,0.04,1,10.9987,8.80319
0.000197,16.8717,0.166817,0.03,1,11.0004,8.7856
0.000198,16.9677,0.144815,0.02,1,11.002,8.76805
0.000199,17.0637,0.12281,0.01,1,11.0033,8.75053
0.0002,17.1597,0.100802,4.60786e-015,1,11.0045,8.73305
0.000201,17.2557,0.0787928,0.01,1,11.0054,8.7156
0.000202,17.3517,0.0567817,0.02,1,11.006,8.69819
0.000203,17.4477,0.0347695,0.03,1,11.0065,8.68081
0.000204,17.5437,0.0127567,0.04,1,11.0067,8.66346
0.000205,17.6397,-0.00925645,0.05,1,11.0067,8.64615
0.000206,17.7357,-0.0312694,0.06,1,11.0065,8.62888
0.000207,17.8317,-0.0532817,0.07,1,11.0061,8.61164
0.000208,17.9277,-0.0752929,0.08,1,11.0055,8.59443
0.000209,18.0237,-0.0973027,0.09,1,11.0046,8.57726
0.00021,18.1197,-0.11931,0.1,1,11.0035,8.56012
0.000211,18.2157,-0.141316,0.11,1,11.0022,8.54302
0.000212,18.3117,-0.163318,0.12,1,11.0007,8.52595
0.000213,18.4077,-0.185318,0.13,1,10.999,8.50891
0.000214,18.5037,-0.207313,0.14,1,10.997,8.49191
0.000215,18.5997,-0.229305,0.15,1,10.9948,8.47495
0.000216,18.6957,-0.251292,0.16,1,10.9924,8.45801
0.000217,18.7917,-0.273273,0.17,1,10.9898,8.44111
0.000218,18.8877,-0.29525,0.18,1,10.9869,8.42425
0.000219,18.9837,-0.31722,0.19,1,10.9839,8.40742
0.00022,19.0797,-0.339184,0.2,1,10.9806,8.39062
0.000221,19.1757,-0.361142,0.21,1,10.9771,8.37386
0.000222,19.2717,-0.383092,0.22,1,10.9734,8.35712
0.000223,19.3677,-0.405034,0.23,1,10.9694,8.34043
0.000224,19.4637,-0.426969,0.24,1,10.9653,8.32376
0.000225,19.5597,-0.448894,0.25,1,10.9609,8.30713
0.000226,19.6557,-0.470811,0.26,1,10.9563,8.29053
0.000227,19.7517,-0.492718,0.27,1,10.9515,8.27397
0.000228,19.8477,-0.514616,0.28,1,10.9464,8.25744
0.000229,19.9437,-0.536503,0.29,1,10.9412,8.24094
0.00023,20.0397,-0.55838,0.3,1,10.9357,8.22447
0.000231,20.1357,-0.580245,0.31,1,10.93,8.20804
0.000232,20.2317,-0.602099,0.32,1,10.9241,8.19164
