Time,iL1,iL2,vC1,vC2,V2,V3,V1
7e-005,3.33261,0.00508158,1.17116,0.00196216,0.4,0.7,0
7.1e-005,3.37942,0.00507959,1.20472,0.002009,0.4,0.71,0
7.2e-005,3.4262,0.00507756,1.23875,0.00205572,0.4,0.72,0
7.3e-005,3.47294,0.00507548,1.27325,0.00210232,0.4,0.73,0
7.4e-005,3.51965,0.00507335,1.30821,0.00214882,0.4,0.74,0
7.5e-005,3.56633,0.00507118,1.34364,0.00219519,0.4,0.75,0
7.6e-005,3.61297,0.00506896,1.37954,0.00224146,0.4,0.76,0
7.7e-005,3.65957,0.0050667,1.4159,0.00228761,0.4,0.77,0
7.8e-005,3.70613,0.00506439,1.45273,0.00233364,0.4,0.78,0
7.9e-005,3.75266,0.00506203,1.49002,0.00237956,0.4,0.79,0
8e-005,3.79915,0.00505963,1.52778,0.00242536,0.4,0.8,0
8.1e-005,3.84561,0.00505718,1.566,0.00247105,0.4,0.81,0
8.2e-005,3.89202,0.00505469,1.60469,0.00251662,0.4,0.82,0
8.3e-005,3.9384,0.00505215,1.64384,0.00256208,0.4,0.83,0
8.4e-005,3.98473,0.00504956,1.68346,0.00260742,0.4,0.84,0
8.5e-005,4.03103,0.00504693,1.72354,0.00265264,0.4,0.85,0
8.6e-005,4.07729,0.00504426,1.76408,0.00269775,0.4,0.86,0
8.7e-005,4.1235,0.00504154,1.80508,0.00274273,0.4,0.87,0
8.8e-005,4.16968,0.00503877,1.84655,0.00278761,0.4,0.88,0
8.9e-005,4.21581,0.00503596,1.88848,0.00283236,0.4,0.89,0
9e-005,4.2619,0.00503311,1.93087,0.002877,0.4,0.9,0
9.1e-005,4.30795,0.00503021,1.97371,0.00292151,0.4,0.91,0
9.2e-005,4.35395,0.00502726,2.01702,0.00296591,0.4,0.92,0
9.3e-005,4.39991,0.00502427,2.06079,0.0030102,0.4,0.93,0
9.4e-005,4.44583,0.00502124,2.10502,0.00305436,0.4,0.94,0
9.5e-005,4.4917,0.00501817,2.14971,0.0030984,0.4,0.95,0
9.6e-005,4.53753,0.00501505,2.19486,0.00314233,0.4,0.96,0
9.7e-005,4.58331,0.00501188,2.24046,0.00318613,0.4,0.97,0
9.8e-005,4.62905,0.00500867,2.28652,0.00322982,0.4,0.98,0
9.9e-005,4.67474,0.00500542,2.33304,0.00327339,0.4,0.99,0
0.0001,4.72038,0.00500213,2.38002,0.00331684,0.4,1,0
0.000101,4.76598,0.00499879,2.42745,0.00336016,0.4,0.99,0
0.000102,4.81153,0.00499541,2.47534,0.00340337,0.4,0.98,0
0.000103,4.85703,0.00499198,2.52368,0.00344646,0.4,0.97,0
0.000104,4.90248,0.00498851,2.57248,0.00348942,0.4,0.96,0
0.000105,4.94788,0.004985,2.62173,0.00353227,0.4,0.95,0
0.000106,4.99324,0.00498145,2.67143,0.003575,0.4,0.94,0
0.000107,5.03854,0.00497785,2.72159,0.0036176,0.4,0.93,0
0.000108,5.08379,0.00497421,2.7722,0.00366008,0.4,0.92,0
0.000109,5.12899,0.00497053,2.82327,0.00370244,0.4,0.91,0
0.00011,5.17415,0.00496681,2.87478,0.00374468,0.4,0.9,0
0.000111,5.21925,0.00496304,2.92675,0.0037868,0.4,0.89,0
0.000112,5.26429,0.00495923,2.97917,0.0038288,0.4,0.88,0
0.000113,5.30929,0.00495538,3.03204,0.00387067,0.4,0.87,0
0.000114,5.35423,0.00495149,3.08535,0.00391242,0.4,0.86,0
0.000115,5.39912,0.00494756,3.13912,0.00395405,0.4,0.85,0
0.000116,5.44395,0.00494358,3.19334,0.00399556,0.4,0.84,0
0.000117,5.48873,0.00493957,3.248,0.00403694,0.4,0.83,0
0.000118,5.53345,0.00493551,3.30311,0.0040782,0.4,0.82,0
0.000119,5.57812,0.00493141,3.35867,0.00411934,0.4,0.81,0
0.00012,5.62274,0.00492727,3.41467,0.00416035,0.4,0.8,0
0.000121,5.66729,0.00492309,3.47112,0.00420124,0.4,0.79,0
0.000122,5.71179,0.00491887,3.52802,0.00424201,0.4,0.78,0
0.000123,5.75624,0.00491461,3.58536,0.00428265,0.4,0.77,0
0.000124,5.80062,0.0049103,3.64314,0.00432317,0.4,0.76,0
0.000125,5.84495,0.00490596,3.70137,0.00436356,0.4,0.75,0
0.000126,5.88922,0.00490158,3.76004,0.00440383,0.4,0.74,0
0.000127,5.93343,0.00489715,3.81915,0.00444398,0.4,0.73,0
0.000128,5.97758,0.00489269,3.87871,0.004484,0.4,0.72,0
0.000129,6.02167,0.00488819,3.93871,0.0045239,0.4,0.71,0
0.00013,6.0657,0.00488364,3.99914,0.00456367,0.4,0.7,0
0.000131,6.10967,0.00487906,4.06002,0.00460331,0.4,0.69,0
0.000132,6.15358,0.00487443,4.12134,0.00464284,0.4,0.68,0
0.000133,6.19743,0.00486977,4.18309,0.00468223,0.4,0.67,0
0.000134,6.24122,0.00486507,4.24528,0.0047215,0.4,0.66,0
0.000135,6.28494,0.00486033,4.30791,0.00476065,0.4,0.65,0
0.000136,6.3286,0.00485555,4.37098,0.00479967,0.4,0.64,0
0.000137,6.3722,0.00485073,4.43449,0.00483856,0.4,0.63,0
0.000138,6.41573,0.00484587,4.49843,0.00487733,0.4,0.62,0
0.000139,6.4592,0.00484097,4.5628,0.00491597,0.4,0.61,0
0.00014,6.50261,0.00483604,4.62761,0.00495448,0.4,0.6,0
0.000141,6.54594,0.00483107,4.69285,0.00499287,0.4,0.59,0
0.000142,6.58922,0.00482605,4.75853,0.00503113,0.4,0.58,0
0.000143,6.63243,0.004821,4.82464,0.00506927,0.4,0.57,0
0.000144,6.67557,0.00481592,4.89118,0.00510728,0.4,0.56,0
0.000145,6.71865,0.00481079,4.95815,0.00514516,0.4,0.55,0
0.000146,6.76165,0.00480562,5.02555,0.00518291,0.4,0.54,0
0.000147,6.80459,0.00480042,5.09338,0.00522054,0.4,0.53,0
0.000148,6.84747,0.00479518,5.16164,0.00525804,0.4,0.52,0
0.000149,6.89027,0.00478991,5.23033,0.00529541,0.4,0.51,0
0.00015,6.93301,0.00478459,5.29945,0.00533265,0.4,0.5,0
