Time,iL,v
0.000163,3.62867,-3.87968
0.000164,3.72467,-3.87193
0.000165,3.82067,-3.86419
0.000166,3.91667,-3.85647
0.000167,4.01267,-3.84876
0.000168,4.10867,-3.84107
0.000169,4.20467,-3.8334
0.00017,4.30067,-3.82574
0.000171,4.39667,-3.8181
0.000172,4.49267,-3.81047
0.000173,4.58867,-3.80285
0.000174,4.68467,-3.79526
0.000175,4.78067,-3.78767
0.000176,4.87667,-3.78011
0.000177,4.97267,-3.77255
0.000178,5.06867,-3.76501
0.000179,5.16467,-3.75749
0.00018,5.26067,-3.74998
0.000181,5.35667,-3.74249
0.000182,5.45267,-3.73501
0.000183,5.54867,-3.72755
0.000184,5.64467,-3.7201
0.000185,5.74067,-3.71267
0.000186,5.83667,-3.70525
0.000187,5.93267,-3.69785
0.000188,6.02867,-3.69046
0.000189,6.12466,-3.68309
0.00019,6.22066,-3.67573
0.000191,6.31666,-3.66839
0.000192,6.41266,-3.66106
0.000193,6.50866,-3.65374
0.000194,6.60466,-3.64644
0.000195,6.70066,-3.63916
0.000196,6.79666,-3.63188
0.000197,6.89266,-3.62463
0.000198,6.98866,-3.61739
0.000199,7.08466,-3.61016
0.0002,7.18066,-3.60294
0.000201,7.27666,-3.59575
0.000202,7.37266,-3.58856
0.000203,7.46866,-3.58139
0.000204,7.56466,-3.57424
0.000205,7.66066,-3.56709
0.000206,7.75666,-3.55997
0.000207,7.85266,-3.55285
0.000208,7.94866,-3.54576
0.000209,8.04466,-3.53867
0.00021,8.14066,-3.5316
0.000211,8.23666,-3.52454
0.000212,8.33266,-3.5175
0.000213,8.42866,-3.51047
0.000214,8.52466,-3.50346
0.000215,8.62066,-3.49646
0.000216,8.71666,-3.48947
0.000217,8.81266,-3.4825
0.000218,8.90866,-3.47554
0.000219,9.00466,-3.4686
0.00022,9.10066,-3.46167
0.000221,9.19666,-3.45475
0.000222,9.29266,-3.44785
0.000223,9.38866,-3.44096
0.000224,9.48466,-3.43409
0.000225,9.58066,-3.42723
0.000226,9.67666,-3.42038
0.000227,9.77266,-3.41354
0.000228,9.86866,-3.40672
0.000229,9.96466,-3.39992
0.00023,10.0607,-3.39312
0.000231,10.1567,-3.38634
0.000232,10.2527,-3.37958
0.000233,10.3487,-3.37283
0.000234,10.4447,-3.36609
0.000235,10.5407,-3.35936
0.000236,10.6367,-3.35265
0.000237,10.7327,-3.34595
0.000238,10.8287,-3.33927
0.000239,10.9247,-3.33259
0.00024,11.0207,-3.32593
0.000241,11.0138,-3.42928
0.000242,11.0068,-3.53236
0.000243,10.9997,-3.63522
0.000244,10.9923,-3.73781
0.000245,10.9847,-3.84012
0.000246,10.9769,-3.94214
0.000247,10.9689,-4.04388
0.000248,10.9608,-4.14534
0.000249,10.9524,-4.24652
0.00025,10.9438,-4.3474
0.000251,10.935,-4.448
0.000252,10.926,-4.54831
0.000253,10.9168,-4.64833
0.000254,10.9074,-4.74805
0.000255,10.8978,-4.84748
0.000256,10.888,-4.94662
0.000257,10.878,-5.04546
0.000258,10.8678,-5.14399
0.000259,10.8574,-5.24223
0.00026,10.8468,-5.34017
0.000261,10.8361,-5.43781
0.000262,10.8251,-5.53514
0.000263,10.8139,-5.63217
0.000264,10.8026,-5.72889
0.000265,10.791,-5.82531
0.000266,10.7793,-5.92141
0.000267,10.7673,-6.0172
0.000268,10.7552,-6.11269
0.000269,10.7429,-6.20786
0.00027,10.7304,-6.30271
0.000271,10.7177,-6.39725
0.000272,10.7048,-6.49148
0.000273,10.6917,-6.58538
0.000274,10.6784,-6.67897
0.000275,10.665,-6.77223
0.000276,10.6513,-6.86518
0.000277,10.6375,-6.9578
0.000278,10.6235,-7.0501
0.000279,10.6093,-7.14207
0.00028,10.5949,-7.23371
0.000281,10.5804,-7.32503
0.000282,10.5656,-7.41602
0.000283,10.5507,-7.50668
0.000284,10.5356,-7.59701
0.000285,10.5203,-7.687
0.000286,10.5049,-7.77666
0.000287,10.4892,-7.86599
0.000288,10.4734,-7.95498
0.000289,10.4574,-8.04364
0.00029,10.4412,-8.13196
0.000291,10.4249,-8.21994
0.000292,10.4083,-8.30757
0.000293,10.3916,-8.39487
0.000294,10.3748,-8.48183
0.000295,10.3577,-8.56844
0.000296,10.3405,-8.65471
0.000297,10.3231,-8.74063
0.000298,10.3055,-8.82621
0.000299,10.2878,-8.91144
0.0003,10.2699,-8.99632
0.000301,10.2518,-9.08085
0.000302,10.2336,-9.16503
0.000303,10.2151,-9.24886
0.000304,10.1966,-9.33233
0.000305,10.1778,-9.41546
0.000306,10.1589,-9.49823
0.000307,10.1398,-9.58064
0.000308,10.1206,-9.6627
0.000309,10.1012,-9.7444
0.00031,10.0816,-9.82575
0.000311,10.0619,-9.90673
0.000312,10.042,-9.98736
0.000313,10.0219,-10.0676
0.000314,10.0017,-10.1475
0.000315,9.98133,-10.2271
