Time,iL,v
0.013155,6.93897,-33.611
0.013156,6.87174,-33.6128
0.013157,6.80452,-33.614
0.013158,6.73729,-33.6145
0.013159,6.67006,-33.6143
0.01316,6.60283,-33.6134
0.013161,6.69883,-33.5463
0.013162,6.79483,-33.4793
0.013163,6.89083,-33.4124
0.013164,6.98683,-33.3456
0.013165,7.08283,-33.279
0.013166,7.17883,-33.2125
0.013167,7.27483,-33.1462
0.013168,7.37083,-33.0799
0.013169,7.46683,-33.0138
0.01317,7.56283,-32.9479
0.013171,7.65883,-32.882
0.013172,7.75483,-32.8163
0.013173,7.85083,-32.7508
0.013174,7.94683,-32.6853
0.013175,8.04283,-32.62
0.013176,8.13883,-32.5549
0.013177,8.23483,-32.4898
0.013178,8.33083,-32.4249
0.013179,8.42683,-32.3601
0.01318,8.52283,-32.2955
0.013181,8.61883,-32.2309
0.013182,8.71483,-32.1665
0.013183,8.81083,-32.1023
0.013184,8.90683,-32.0381
0.013185,9.00283,-31.9741
0.013186,9.09883,-31.9102
0.013187,9.19483,-31.8465
0.013188,9.29083,-31.7828
0.013189,9.38683,-31.7193
0.01319,9.48283,-31.656
0.013191,9.57883,-31.5927
0.013192,9.67483,-31.5296
0.013193,9.77083,-31.4666
0.013194,9.86683,-31.4037
0.013195,9.96283,-31.341
0.013196,10.0588,-31.2784
0.013197,10.1548,-31.2159
0.013198,10.2508,-31.1535
0.013199,10.3468,-31.0913
0.0132,10.4428,-31.0291
0.013201,10.5388,-30.9671
0.013202,10.6348,-30.9053
0.013203,10.7308,-30.8435
0.013204,10.8268,-30.7819
0.013205,10.9228,-30.7204
0.013206,11.0188,-30.659
0.013207,11.1148,-30.5978
0.013208,11.2108,-30.5366
0.013209,11.3068,-30.4756
0.01321,11.4028,-30.4147
0.013211,11.4988,-30.3539
0.013212,11.5948,-30.2933
0.013213,11.6908,-30.2328
0.013214,11.7868,-30.1724
0.013215,11.8828,-30.1121
0.013216,11.9788,-30.0519
0.013217,12.0748,-29.9919
0.013218,12.1708,-29.932
0.013219,12.2668,-29.8721
0.01322,12.3628,-29.8125
0.013221,12.4588,-29.7529
0.013222,12.5548,-29.6935
0.013223,12.6508,-29.6341
0.013224,12.7468,-29.5749
0.013225,12.8428,-29.5158
0.013226,12.9388,-29.4569
0.013227,13.0348,-29.398
0.013228,13.1308,-29.3393
0.013229,13.2268,-29.2806
0.01323,13.3228,-29.2221
0.013231,13.4188,-29.1638
0.013232,13.5148,-29.1055
0.013233,13.6108,-29.0473
0.013234,13.7068,-28.9893
0.013235,13.8028,-28.9314
0.013236,13.8988,-28.8736
0.013237,13.9948,-28.8159
0.013238,14.0908,-28.7583
0.013239,14.1868,-28.7008
0.01324,14.2828,-28.6435
0.013241,14.2254,-28.7285
0.013242,14.1678,-28.8127
0.013243,14.1101,-28.8964
0.013244,14.0522,-28.9793
0.013245,13.9942,-29.0615
0.013246,13.936,-29.143
0.013247,13.8776,-29.2237
0.013248,13.8191,-29.3036
0.013249,13.7604,-29.3828
0.01325,13.7016,-29.4613
0.013251,13.6426,-29.539
0.013252,13.5834,-29.616
0.013253,13.5241,-29.6922
0.013254,13.4646,-29.7677
0.013255,13.405,-29.8425
0.013256,13.3453,-29.9164
0.013257,13.2854,-29.9897
0.013258,13.2253,-30.0622
0.013259,13.1651,-30.1339
0.01326,13.1048,-30.205
0.013261,13.0443,-30.2752
0.013262,12.9837,-30.3447
0.013263,12.9229,-30.4135
0.013264,12.862,-30.4815
0.013265,12.801,-30.5488
0.013266,12.7398,-30.6154
0.013267,12.6785,-30.6812
0.013268,12.6171,-30.7462
0.013269,12.5555,-30.8105
0.01327,12.4939,-30.8741
0.013271,12.432,-30.9369
0.013272,12.3701,-30.999
0.013273,12.308,-31.0603
0.013274,12.2459,-31.1209
0.013275,12.1836,-31.1807
0.013276,12.1211,-31.2398
0.013277,12.0586,-31.2982
0.013278,11.9959,-31.3558
0.013279,11.9332,-31.4127
0.01328,11.8703,-31.4688
0.013281,11.8073,-31.5242
0.013282,11.7442,-31.5789
0.013283,11.681,-31.6328
0.013284,11.6177,-31.686
0.013285,11.5542,-31.7384
0.013286,11.4907,-31.7901
0.013287,11.4271,-31.8411
0.013288,11.3634,-31.8913
0.013289,11.2995,-31.9408
0.01329,11.2356,-31.9895
0.013291,11.1716,-32.0375
0.013292,11.1074,-32.0848
0.013293,11.0432,-32.1313
0.013294,10.9789,-32.1771
0.013295,10.9145,-32.2222
0.013296,10.85,-32.2665
0.013297,10.7854,-32.3101
0.013298,10.7208,-32.353
0.013299,10.656,-32.3951
0.0133,10.5912,-32.4365
0.013301,10.5263,-32.4772
0.013302,10.4613,-32.5172
0.013303,10.3962,-32.5564
0.013304,10.3311,-32.5949
0.013305,10.2658,-32.6326
0.013306,10.2005,-32.6696
0.013307,10.1352,-32.706
0.013308,10.0697,-32.7415
0.013309,10.0042,-32.7764
0.01331,9.93861,-32.8105
0.013311,9.87296,-32.8439
0.013312,9.80724,-32.8766
0.013313,9.74145,-32.9085
0.013314,9.6756,-32.9398
0.013315,9.60969,-32.9703
0.013316,9.54372,-33.0001
0.013317,9.47769,-33.0292
0.013318,9.41161,-33.0575
0.013319,9.34546,-33.0852
0.01332,9.27927,-33.1121
0.013321,9.21302,-33.1383
0.013322,9.14671,-33.1638
0.013323,9.08036,-33.1886
0.013324,9.01396,-33.2127
0.013325,8.94751,-33.236
0.013326,8.88102,-33.2587
0.013327,8.81448,-33.2806
0.013328,8.74789,-33.3018
0.013329,8.68127,-33.3224
0.01333,8.6146,-33.3422
0.013331,8.5479,-33.3613
0.013332,8.48116,-33.3797
0.013333,8.41438,-33.3974
0.013334,8.34757,-33.4144
0.013335,8.28073,-33.4307
0.013336,8.21385,-33.4463
0.013337,8.14694,-33.4612
0.013338,8.08,-33.4754
0.013339,8.01304,-33.4889
0.01334,7.94605,-33.5017
0.013341,7.87903,-33.5138
0.013342,7.81199,-33.5252
0.013343,7.74493,-33.5359
0.013344,7.67785,-33.546
0.013345,7.61075,-33.5553
0.013346,7.54363,-33.564
0.013347,7.47649,-33.5719
0.013348,7.40934,-33.5792
0.013349,7.34218,-33.5858
0.01335,7.275,-33.5917
0.013351,7.20781,-33.5969
0.013352,7.14061,-33.6015
0.013353,7.0734,-33.6053
0.013354,7.00619,-33.6085
0.013355,6.93897,-33.611
0.013356,6.87175,-33.6129
0.013357,6.80452,-33.614
0.013358,6.73729,-33.6145
0.013359,6.67006,-33.6143
0.01336,6.60283,-33.6134
0.013361,6.69883,-33.5463
0.013362,6.79483,-33.4793
0.013363,6.89083,-33.4124
0.013364,6.98683,-33.3457
0.013365,7.08283,-33.279
0.013366,7.17883,-33.2125
0.013367,7.27483,-33.1462
0.013368,7.37083,-33.08
0.013369,7.46683,-33.0139
0.01337,7.56283,-32.9479
0.013371,7.65883,-32.8821
0.013372,7.75483,-32.8164
0.013373,7.85083,-32.7508
0.013374,7.94683,-32.6854
0.013375,8.04283,-32.6201
0.013376,8.13883,-32.5549
0.013377,8.23483,-32.4898
0.013378,8.33083,-32.4249
0.013379,8.42683,-32.3601
0.01338,8.52283,-32.2955
0.013381,8.61883,-32.231
0.013382,8.71483,-32.1666
0.013383,8.81083,-32.1023
0.013384,8.90683,-32.0382
0.013385,9.00283,-31.9741
0.013386,9.09883,-31.9103
0.013387,9.19483,-31.8465
0.013388,9.29083,-31.7829
0.013389,9.38683,-31.7194
0.01339,9.48283,-31.656
0.013391,9.57883,-31.5927
0.013392,9.67483,-31.5296
0.013393,9.77083,-31.4666
0.013394,9.86683,-31.4038
0.013395,9.96283,-31.341
0.013396,10.0588,-31.2784
0.013397,10.1548,-31.2159
0.013398,10.2508,-31.1535
0.013399,10.3468,-31.0913
0.0134,10.4428,-31.0292
0.013401,10.5388,-30.9672
0.013402,10.6348,-30.9053
0.013403,10.7308,-30.8435
0.013404,10.8268,-30.7819
0.013405,10.9228,-30.7204
0.013406,11.0188,-30.659
0.013407,11.1148,-30.5978
0.013408,11.2108,-30.5366
0.013409,11.3068,-30.4756
0.01341,11.4028,-30.4147
0.013411,11.4988,-30.354
0.013412,11.5948,-30.2933
0.013413,11.6908,-30.2328
0.013414,11.7868,-30.1724
0.013415,11.8828,-30.1121
0.013416,11.9788,-30.0519
0.013417,12.0748,-29.9919
0.013418,12.1708,-29.932
0.013419,12.2668,-29.8722
0.01342,12.3628,-29.8125
0.013421,12.4588,-29.7529
0.013422,12.5548,-29.6935
0.013423,12.6508,-29.6342
0.013424,12.7468,-29.5749
0.013425,12.8428,-29.5159
0.013426,12.9388,-29.4569
0.013427,13.0348,-29.398
0.013428,13.1308,-29.3393
0.013429,13.2268,-29.2807
0.01343,13.3228,-29.2222
0.013431,13.4188,-29.1638
0.013432,13.5148,-29.1055
0.013433,13.6108,-29.0474
0.013434,13.7068,-28.9893
0.013435,13.8028,-28.9314
0.013436,13.8988,-28.8736
0.013437,13.9948,-28.8159
0.013438,14.0908,-28.7583
0.013439,14.1868,-28.7009
0.01344,14.2828,-28.6435
0.013441,14.2254,-28.7285
0.013442,14.1678,-28.8127
0.013443,14.1101,-28.8964
0.013444,14.0522,-28.9794
0.013445,13.9942,-29.0616
0.013446,13.936,-29.143
0.013447,13.8776,-29.2237
0.013448,13.8191,-29.3037
0.013449,13.7604,-29.3829
0.01345,13.7016,-29.4613
0.013451,13.6426,-29.5391
0.013452,13.5834,-29.616
0.013453,13.5241,-29.6923
0.013454,13.4646,-29.7677
0.013455,13.405,-29.8425
0.013456,13.3453,-29.9165
0.013457,13.2854,-29.9897
0.013458,13.2253,-30.0622
0.013459,13.1651,-30.134
0.01346,13.1048,-30.205
0.013461,13.0443,-30.2753
0.013462,12.9837,-30.3448
0.013463,12.9229,-30.4135
0.013464,12.862,-30.4816
0.013465,12.801,-30.5489
0.013466,12.7398,-30.6154
0.013467,12.6785,-30.6812
0.013468,12.6171,-30.7462
0.013469,12.5555,-30.8106
0.01347,12.4939,-30.8741
0.013471,12.432,-30.9369
0.013472,12.3701,-30.999
0.013473,12.308,-31.0603
0.013474,12.2459,-31.1209
0.013475,12.1836,-31.1808
0.013476,12.1211,-31.2399
0.013477,12.0586,-31.2982
0.013478,11.9959,-31.3559
0.013479,11.9332,-31.4127
0.01348,11.8703,-31.4689
0.013481,11.8073,-31.5243
0.013482,11.7442,-31.5789
0.013483,11.681,-31.6328
0.013484,11.6177,-31.686
0.013485,11.5542,-31.7384
0.013486,11.4907,-31.7901
0.013487,11.4271,-31.8411
0.013488,11.3634,-31.8913
0.013489,11.2995,-31.9408
0.01349,11.2356,-31.9895
0.013491,11.1716,-32.0375
0.013492,11.1074,-32.0848
0.013493,11.0432,-32.1314
0.013494,10.9789,-32.1772
0.013495,10.9145,-32.2222
0.013496,10.85,-32.2666
0.013497,10.7854,-32.3102
0.013498,10.7208,-32.353
0.013499,10.656,-32.3952
0.0135,10.5912,-32.4366
0.013501,10.5263,-32.4772
0.013502,10.4613,-32.5172
0.013503,10.3962,-32.5564
0.013504,10.3311,-32.5949
0.013505,10.2658,-32.6326
0.013506,10.2005,-32.6697
0.013507,10.1352,-32.706
0.013508,10.0697,-32.7416
0.013509,10.0042,-32.7764
0.01351,9.93861,-32.8105
0.013511,9.87296,-32.8439
0.013512,9.80724,-32.8766
0.013513,9.74145,-32.9086
0.013514,9.6756,-32.9398
0.013515,9.60969,-32.9703
0.013516,9.54372,-33.0001
0.013517,9.47769,-33.0292
0.013518,9.41161,-33.0576
0.013519,9.34546,-33.0852
0.01352,9.27927,-33.1121
0.013521,9.21301,-33.1383
0.013522,9.14671,-33.1638
0.013523,9.08036,-33.1886
0.013524,9.01396,-33.2127
0.013525,8.94751,-33.236
0.013526,8.88101,-33.2587
0.013527,8.81447,-33.2806
0.013528,8.74789,-33.3019
0.013529,8.68127,-33.3224
0.01353,8.6146,-33.3422
0.013531,8.5479,-33.3613
0.013532,8.48116,-33.3797
0.013533,8.41438,-33.3974
0.013534,8.34757,-33.4144
0.013535,8.28072,-33.4307
0.013536,8.21385,-33.4463
0.013537,8.14694,-33.4612
0.013538,8.08,-33.4754
0.013539,8.01304,-33.4889
0.01354,7.94605,-33.5017
0.013541,7.87903,-33.5138
0.013542,7.81199,-33.5252
0.013543,7.74493,-33.536
0.013544,7.67785,-33.546
0.013545,7.61075,-33.5553
0.013546,7.54363,-33.564
0.013547,7.47649,-33.5719
0.013548,7.40934,-33.5792
0.013549,7.34217,-33.5858
0.01355,7.275,-33.5917
0.013551,7.20781,-33.5969
0.013552,7.14061,-33.6015
0.013553,7.0734,-33.6054
0.013554,7.00619,-33.6085
0.013555,6.93897,-33.611
0.013556,6.87174,-33.6129
0.013557,6.80452,-33.614
0.013558,6.73729,-33.6145
0.013559,6.67006,-33.6143
0.01356,6.60283,-33.6135
0.013561,6.69883,-33.5463
0.013562,6.79483,-33.4793
0.013563,6.89083,-33.4124
0.013564,6.98683,-33.3457
0.013565,7.08283,-33.2791
0.013566,7.17883,-33.2126
0.013567,7.27483,-33.1462
0.013568,7.37083,-33.08
0.013569,7.46683,-33.0139
0.01357,7.56283,-32.9479
0.013571,7.65883,-32.8821
0.013572,7.75483,-32.8164
0.013573,7.85083,-32.7508
0.013574,7.94683,-32.6854
0.013575,8.04283,-32.6201
0.013576,8.13883,-32.5549
0.013577,8.23483,-32.4899
0.013578,8.33083,-32.425
0.013579,8.42683,-32.3602
0.01358,8.52283,-32.2955
0.013581,8.61883,-32.231
0.013582,8.71483,-32.1666
0.013583,8.81083,-32.1023
0.013584,8.90683,-32.0382
0.013585,9.00283,-31.9742
0.013586,9.09883,-31.9103
0.013587,9.19483,-31.8465
0.013588,9.29083,-31.7829
0.013589,9.38683,-31.7194
0.01359,9.48283,-31.656
0.013591,9.57883,-31.5928
0.013592,9.67483,-31.5296
0.013593,9.77083,-31.4666
0.013594,9.86683,-31.4038
0.013595,9.96283,-31.341
0.013596,10.0588,-31.2784
0.013597,10.1548,-31.2159
0.013598,10.2508,-31.1536
0.013599,10.3468,-31.0913
0.0136,10.4428,-31.0292
0.013601,10.5388,-30.9672
0.013602,10.6348,-30.9053
0.013603,10.7308,-30.8436
0.013604,10.8268,-30.7819
0.013605,10.9228,-30.7204
0.013606,11.0188,-30.6591
0.013607,11.1148,-30.5978
0.013608,11.2108,-30.5367
0.013609,11.3068,-30.4757
0.01361,11.4028,-30.4148
0.013611,11.4988,-30.354
0.013612,11.5948,-30.2933
0.013613,11.6908,-30.2328
0.013614,11.7868,-30.1724
0.013615,11.8828,-30.1121
0.013616,11.9788,-30.052
0.013617,12.0748,-29.9919
0.013618,12.1708,-29.932
0.013619,12.2668,-29.8722
0.01362,12.3628,-29.8125
0.013621,12.4588,-29.7529
0.013622,12.5548,-29.6935
0.013623,12.6508,-29.6342
0.013624,12.7468,-29.575
0.013625,12.8428,-29.5159
0.013626,12.9388,-29.4569
0.013627,13.0348,-29.398
0.013628,13.1308,-29.3393
0.013629,13.2268,-29.2807
0.01363,13.3228,-29.2222
0.013631,13.4188,-29.1638
0.013632,13.5148,-29.1055
0.013633,13.6108,-29.0474
0.013634,13.7068,-28.9893
0.013635,13.8028,-28.9314
0.013636,13.8988,-28.8736
0.013637,13.9948,-28.8159
0.013638,14.0908,-28.7583
0.013639,14.1868,-28.7009
0.01364,14.2828,-28.6435
0.013641,14.2254,-28.7285
0.013642,14.1678,-28.8128
0.013643,14.1101,-28.8964
0.013644,14.0522,-28.9794
0.013645,13.9942,-29.0616
0.013646,13.936,-29.143
0.013647,13.8776,-29.2237
0.013648,13.8191,-29.3037
0.013649,13.7604,-29.3829
0.01365,13.7016,-29.4614
0.013651,13.6426,-29.5391
0.013652,13.5834,-29.616
0.013653,13.5241,-29.6923
0.013654,13.4646,-29.7678
0.013655,13.405,-29.8425
0.013656,13.3453,-29.9165
0.013657,13.2854,-29.9897
0.013658,13.2253,-30.0622
0.013659,13.1651,-30.134
0.01366,13.1048,-30.205
0.013661,13.0443,-30.2753
0.013662,12.9837,-30.3448
0.013663,12.9229,-30.4136
0.013664,12.862,-30.4816
0.013665,12.801,-30.5489
0.013666,12.7398,-30.6154
0.013667,12.6785,-30.6812
0.013668,12.6171,-30.7463
0.013669,12.5555,-30.8106
0.01367,12.4939,-30.8741
0.013671,12.432,-30.9369
0.013672,12.3701,-30.999
0.013673,12.308,-31.0604
0.013674,12.2459,-31.1209
0.013675,12.1836,-31.1808
0.013676,12.1211,-31.2399
0.013677,12.0586,-31.2983
0.013678,11.9959,-31.3559
0.013679,11.9332,-31.4127
0.01368,11.8703,-31.4689
0.013681,11.8073,-31.5243
0.013682,11.7442,-31.5789
0.013683,11.681,-31.6328
0.013684,11.6177,-31.686
0.013685,11.5542,-31.7385
0.013686,11.4907,-31.7902
0.013687,11.4271,-31.8411
0.013688,11.3633,-31.8913
0.013689,11.2995,-31.9408
0.01369,11.2356,-31.9896
0.013691,11.1716,-32.0376
0.013692,11.1074,-32.0848
0.013693,11.0432,-32.1314
0.013694,10.9789,-32.1772
0.013695,10.9145,-32.2222
0.013696,10.85,-32.2666
0.013697,10.7854,-32.3102
0.013698,10.7208,-32.353
0.013699,10.656,-32.3952
0.0137,10.5912,-32.4366
0.013701,10.5263,-32.4773
0.013702,10.4613,-32.5172
0.013703,10.3962,-32.5564
0.013704,10.3311,-32.5949
0.013705,10.2658,-32.6327
0.013706,10.2005,-32.6697
0.013707,10.1352,-32.706
0.013708,10.0697,-32.7416
0.013709,10.0042,-32.7764
0.01371,9.93861,-32.8105
0.013711,9.87295,-32.8439
0.013712,9.80723,-32.8766
0.013713,9.74145,-32.9086
0.013714,9.6756,-32.9398
0.013715,9.60969,-32.9703
0.013716,9.54372,-33.0001
0.013717,9.47769,-33.0292
0.013718,9.4116,-33.0576
0.013719,9.34546,-33.0852
0.01372,9.27926,-33.1121
0.013721,9.21301,-33.1384
0.013722,9.14671,-33.1638
0.013723,9.08035,-33.1886
0.013724,9.01395,-33.2127
0.013725,8.9475,-33.2361
0.013726,8.88101,-33.2587
0.013727,8.81447,-33.2806
0.013728,8.74789,-33.3019
0.013729,8.68126,-33.3224
0.01373,8.6146,-33.3422
0.013731,8.54789,-33.3613
0.013732,8.48115,-33.3797
0.013733,8.41437,-33.3974
0.013734,8.34756,-33.4144
0.013735,8.28072,-33.4307
0.013736,8.21384,-33.4463
0.013737,8.14693,-33.4612
0.013738,8.08,-33.4754
0.013739,8.01303,-33.4889
0.01374,7.94604,-33.5017
0.013741,7.87902,-33.5138
0.013742,7.81199,-33.5252
0.013743,7.74492,-33.536
0.013744,7.67784,-33.546
0.013745,7.61074,-33.5553
0.013746,7.54362,-33.564
0.013747,7.47648,-33.572
0.013748,7.40933,-33.5792
0.013749,7.34217,-33.5858
0.01375,7.27499,-33.5917
0.013751,7.2078,-33.597
0.013752,7.1406,-33.6015
0.013753,7.0734,-33.6054
0.013754,7.00618,-33.6085
0.013755,6.93896,-33.6111
0.013756,6.87174,-33.6129
0.013757,6.80451,-33.614
0.013758,6.73728,-33.6145
0.013759,6.67005,-33.6143
0.01376,6.60283,-33.6135
0.013761,6.69883,-33.5463
0.013762,6.79483,-33.4793
0.013763,6.89083,-33.4125
0.013764,6.98682,-33.3457
0.013765,7.08282,-33.2791
0.013766,7.17882,-33.2126
0.013767,7.27482,-33.1462
0.013768,7.37082,-33.08
0.013769,7.46682,-33.0139
0.01377,7.56282,-32.9479
0.013771,7.65882,-32.8821
0.013772,7.75482,-32.8164
0.013773,7.85082,-32.7508
0.013774,7.94682,-32.6854
0.013775,8.04282,-32.6201
0.013776,8.13882,-32.5549
0.013777,8.23482,-32.4899
0.013778,8.33082,-32.425
0.013779,8.42682,-32.3602
0.01378,8.52282,-32.2955
0.013781,8.61882,-32.231
0.013782,8.71482,-32.1666
0.013783,8.81082,-32.1023
0.013784,8.90682,-32.0382
0.013785,9.00282,-31.9742
0.013786,9.09882,-31.9103
0.013787,9.19482,-31.8465
0.013788,9.29082,-31.7829
0.013789,9.38682,-31.7194
0.01379,9.48282,-31.656
0.013791,9.57882,-31.5928
0.013792,9.67482,-31.5297
0.013793,9.77082,-31.4667
0.013794,9.86682,-31.4038
0.013795,9.96282,-31.341
0.013796,10.0588,-31.2784
0.013797,10.1548,-31.2159
0.013798,10.2508,-31.1536
0.013799,10.3468,-31.0913
0.0138,10.4428,-31.0292
0.013801,10.5388,-30.9672
0.013802,10.6348,-30.9053
0.013803,10.7308,-30.8436
0.013804,10.8268,-30.7819
0.013805,10.9228,-30.7204
0.013806,11.0188,-30.6591
0.013807,11.1148,-30.5978
0.013808,11.2108,-30.5367
0.013809,11.3068,-30.4757
0.01381,11.4028,-30.4148
0.013811,11.4988,-30.354
0.013812,11.5948,-30.2934
0.013813,11.6908,-30.2328
0.013814,11.7868,-30.1724
0.013815,11.8828,-30.1121
0.013816,11.9788,-30.052
0.013817,12.0748,-29.9919
0.013818,12.1708,-29.932
0.013819,12.2668,-29.8722
0.01382,12.3628,-29.8125
0.013821,12.4588,-29.753
0.013822,12.5548,-29.6935
0.013823,12.6508,-29.6342
0.013824,12.7468,-29.575
0.013825,12.8428,-29.5159
0.013826,12.9388,-29.4569
0.013827,13.0348,-29.3981
0.013828,13.1308,-29.3393
0.013829,13.2268,-29.2807
0.01383,13.3228,-29.2222
0.013831,13.4188,-29.1638
0.013832,13.5148,-29.1055
0.013833,13.6108,-29.0474
0.013834,13.7068,-28.9893
0.013835,13.8028,-28.9314
0.013836,13.8988,-28.8736
0.013837,13.9948,-28.8159
0.013838,14.0908,-28.7584
0.013839,14.1868,-28.7009
0.01384,14.2828,-28.6436
0.013841,14.2254,-28.7285
0.013842,14.1678,-28.8128
0.013843,14.1101,-28.8965
0.013844,14.0522,-28.9794
0.013845,13.9942,-29.0616
0.013846,13.936,-29.143
0.013847,13.8776,-29.2237
0.013848,13.8191,-29.3037
0.013849,13.7604,-29.3829
0.01385,13.7016,-29.4614
0.013851,13.6425,-29.5391
0.013852,13.5834,-29.6161
0.013853,13.5241,-29.6923
0.013854,13.4646,-29.7678
0.013855,13.405,-29.8425
0.013856,13.3453,-29.9165
0.013857,13.2853,-29.9897
0.013858,13.2253,-30.0622
0.013859,13.1651,-30.134
0.01386,13.1048,-30.205
0.013861,13.0443,-30.2753
0.013862,12.9837,-30.3448
0.013863,12.9229,-30.4136
0.013864,12.862,-30.4816
0.013865,12.801,-30.5489
0.013866,12.7398,-30.6154
0.013867,12.6785,-30.6812
0.013868,12.6171,-30.7463
0.013869,12.5555,-30.8106
0.01387,12.4938,-30.8741
0.013871,12.432,-30.937
0.013872,12.3701,-30.999
0.013873,12.308,-31.0604
0.013874,12.2459,-31.1209
0.013875,12.1836,-31.1808
0.013876,12.1211,-31.2399
0.013877,12.0586,-31.2983
0.013878,11.9959,-31.3559
0.013879,11.9332,-31.4128
0.01388,11.8703,-31.4689
0.013881,11.8073,-31.5243
0.013882,11.7442,-31.5789
0.013883,11.681,-31.6328
0.013884,11.6177,-31.686
0.013885,11.5542,-31.7385
0.013886,11.4907,-31.7902
0.013887,11.4271,-31.8411
0.013888,11.3633,-31.8913
0.013889,11.2995,-31.9408
0.01389,11.2356,-31.9896
0.013891,11.1716,-32.0376
0.013892,11.1074,-32.0848
0.013893,11.0432,-32.1314
0.013894,10.9789,-32.1772
0.013895,10.9145,-32.2222
0.013896,10.85,-32.2666
0.013897,10.7854,-32.3102
0.013898,10.7208,-32.353
0.013899,10.656,-32.3952
0.0139,10.5912,-32.4366
0.013901,10.5263,-32.4773
0.013902,10.4613,-32.5172
0.013903,10.3962,-32.5564
0.013904,10.3311,-32.5949
0.013905,10.2658,-32.6327
0.013906,10.2005,-32.6697
0.013907,10.1352,-32.706
0.013908,10.0697,-32.7416
0.013909,10.0042,-32.7764
0.01391,9.9386,-32.8105
0.013911,9.87295,-32.844
0.013912,9.80722,-32.8766
0.013913,9.74144,-32.9086
0.013914,9.67559,-32.9398
0.013915,9.60968,-32.9703
0.013916,9.54371,-33.0001
0.013917,9.47768,-33.0292
0.013918,9.41159,-33.0576
0.013919,9.34545,-33.0852
0.01392,9.27925,-33.1121
0.013921,9.213,-33.1384
0.013922,9.1467,-33.1638
0.013923,9.08035,-33.1886
0.013924,9.01395,-33.2127
0.013925,8.9475,-33.2361
0.013926,8.881,-33.2587
0.013927,8.81446,-33.2806
0.013928,8.74788,-33.3019
0.013929,8.68125,-33.3224
0.01393,8.61459,-33.3422
0.013931,8.54789,-33.3613
0.013932,8.48115,-33.3797
0.013933,8.41437,-33.3974
0.013934,8.34756,-33.4144
0.013935,8.28071,-33.4307
0.013936,8.21383,-33.4463
0.013937,8.14693,-33.4612
0.013938,8.07999,-33.4754
0.013939,8.01302,-33.4889
0.01394,7.94603,-33.5017
0.013941,7.87902,-33.5138
0.013942,7.81198,-33.5252
0.013943,7.74492,-33.536
0.013944,7.67783,-33.546
0.013945,7.61073,-33.5553
0.013946,7.54361,-33.564
0.013947,7.47648,-33.572
0.013948,7.40933,-33.5792
0.013949,7.34216,-33.5858
0.01395,7.27498,-33.5917
0.013951,7.20779,-33.597
0.013952,7.1406,-33.6015
0.013953,7.07339,-33.6054
0.013954,7.00617,-33.6085
0.013955,6.93896,-33.6111
0.013956,6.87173,-33.6129
0.013957,6.8045,-33.614
0.013958,6.73728,-33.6145
0.013959,6.67005,-33.6143
0.01396,6.60282,-33.6135
0.013961,6.69882,-33.5463
0.013962,6.79482,-33.4793
0.013963,6.89082,-33.4124
0.013964,6.98682,-33.3457
0.013965,7.08282,-33.2791
0.013966,7.17882,-33.2126
0.013967,7.27482,-33.1462
0.013968,7.37082,-33.08
0.013969,7.46682,-33.0139
0.01397,7.56282,-32.9479
0.013971,7.65882,-32.8821
0.013972,7.75482,-32.8164
0.013973,7.85082,-32.7508
0.013974,7.94682,-32.6854
0.013975,8.04282,-32.6201
0.013976,8.13882,-32.5549
0.013977,8.23482,-32.4899
0.013978,8.33082,-32.425
0.013979,8.42682,-32.3602
0.01398,8.52282,-32.2955
0.013981,8.61881,-32.231
0.013982,8.71481,-32.1666
0.013983,8.81081,-32.1023
0.013984,8.90681,-32.0382
0.013985,9.00281,-31.9742
0.013986,9.09881,-31.9103
0.013987,9.19481,-31.8465
0.013988,9.29081,-31.7829
0.013989,9.38681,-31.7194
0.01399,9.48281,-31.656
0.013991,9.57881,-31.5928
0.013992,9.67481,-31.5297
0.013993,9.77081,-31.4667
0.013994,9.86681,-31.4038
0.013995,9.96281,-31.341
0.013996,10.0588,-31.2784
0.013997,10.1548,-31.2159
0.013998,10.2508,-31.1536
0.013999,10.3468,-31.0913
0.014,10.4428,-31.0292
0.014001,10.5388,-30.9672
0.014002,10.6348,-30.9053
0.014003,10.7308,-30.8436
0.014004,10.8268,-30.7819
0.014005,10.9228,-30.7204
0.014006,11.0188,-30.6591
0.014007,11.1148,-30.5978
0.014008,11.2108,-30.5367
0.014009,11.3068,-30.4757
0.01401,11.4028,-30.4148
0.014011,11.4988,-30.354
0.014012,11.5948,-30.2934
0.014013,11.6908,-30.2328
0.014014,11.7868,-30.1724
0.014015,11.8828,-30.1121
0.014016,11.9788,-30.052
0.014017,12.0748,-29.9919
0.014018,12.1708,-29.932
0.014019,12.2668,-29.8722
0.01402,12.3628,-29.8125
0.014021,12.4588,-29.753
0.014022,12.5548,-29.6935
0.014023,12.6508,-29.6342
0.014024,12.7468,-29.575
0.014025,12.8428,-29.5159
0.014026,12.9388,-29.4569
0.014027,13.0348,-29.3981
0.014028,13.1308,-29.3393
0.014029,13.2268,-29.2807
0.01403,13.3228,-29.2222
0.014031,13.4188,-29.1638
0.014032,13.5148,-29.1055
0.014033,13.6108,-29.0474
0.014034,13.7068,-28.9893
0.014035,13.8028,-28.9314
0.014036,13.8988,-28.8736
0.014037,13.9948,-28.8159
