Time,iL,v,V1,V2
0.000145,3.70841,3.21634,1,0
0.000146,3.70894,3.24696,1,0
0.000147,3.7094,3.27753,1,0
0.000148,3.70978,3.30804,1,0
0.000149,3.7101,3.33849,1,0
0.00015,3.71034,3.36889,1,0
0.000151,3.71053,3.39922,1,0
0.000152,3.71064,3.4295,1,0
0.000153,3.7107,3.45972,1,0
0.000154,3.71069,3.48988,1,0
0.000155,3.71062,3.51997,1,0
0.000156,3.7105,3.55001,1,0
0.000157,3.71032,3.57998,1,0
0.000158,3.71009,3.60989,1,0
0.000159,3.7098,3.63974,1,0
0.00016,3.70946,3.66953,1,0
0.000161,3.71631,3.6622,0,1
0.000162,3.723,3.65489,0,1
0.000163,3.72956,3.64759,0,1
0.000164,3.73598,3.6403,0,1
0.000165,3.74224,3.63303,0,1
0.000166,3.74835,3.62577,0,1
0.000167,3.75432,3.61852,0,1
0.000168,3.76015,3.61129,0,1
0.000169,3.76583,3.60408,0,1
0.00017,3.77139,3.59688,0,1
0.000171,3.77681,3.58969,0,1
0.000172,3.7821,3.58252,0,1
0.000173,3.78727,3.57536,0,1
0.000174,3.79231,3.56822,0,1
0.000175,3.79724,3.56109,0,1
0.000176,3.80205,3.55397,0,1
0.000177,3.80674,3.54687,0,1
0.000178,3.81133,3.53978,0,1
0.000179,3.8158,3.53271,0,1
0.00018,3.82017,3.52565,0,1
0.000181,3.82443,3.51861,0,1
0.000182,3.8286,3.51158,0,1
0.000183,3.83266,3.50456,0,1
0.000184,3.83663,3.49756,0,1
0.000185,3.8405,3.49057,0,1
0.000186,3.84429,3.4836,0,1
0.000187,3.84798,3.47664,0,1
0.000188,3.85158,3.46969,0,1
0.000189,3.8551,3.46276,0,1
0.00019,3.85854,3.45584,0,1
0.000191,3.86189,3.44894,0,1
0.000192,3.86517,3.44205,0,1
0.000193,3.86837,3.43517,0,1
0.000194,3.87149,3.4283,0,1
0.000195,3.87454,3.42146,0,1
0.000196,3.87751,3.41462,0,1
0.000197,3.88042,3.4078,0,1
0.000198,3.88325,3.40099,0,1
0.000199,3.88602,3.39419,0,1
0.0002,3.88872,3.38741,0,1
0.000201,3.89136,3.38064,0,1
0.000202,3.89394,3.37389,0,1
0.000203,3.89645,3.36715,0,1
0.000204,3.89891,3.36042,0,1
0.000205,3.90131,3.35371,0,1
0.000206,3.90365,3.347,0,1
0.000207,3.90593,3.34032,0,1
0.000208,3.90816,3.33364,0,1
0.000209,3.91034,3.32698,0,1
0.00021,3.91247,3.32034,0,1
0.000211,3.91454,3.3137,0,1
0.000212,3.91657,3.30708,0,1
0.000213,3.91855,3.30047,0,1
0.000214,3.92048,3.29388,0,1
0.000215,3.92237,3.2873,0,1
0.000216,3.92421,3.28073,0,1
0.000217,3.926,3.27417,0,1
0.000218,3.92776,3.26763,0,1
0.000219,3.92947,3.2611,0,1
0.00022,3.93114,3.25459,0,1
0.000221,3.93278,3.24809,0,1
0.000222,3.93437,3.2416,0,1
0.000223,3.93593,3.23512,0,1
0.000224,3.93745,3.22866,0,1
0.000225,3.93893,3.2222,0,1
0.000226,3.94038,3.21577,0,1
0.000227,3.94179,3.20934,0,1
0.000228,3.94317,3.20293,0,1
0.000229,3.94452,3.19653,0,1
0.00023,3.94584,3.19014,0,1
0.000231,3.94712,3.18377,0,1
0.000232,3.94837,3.17741,0,1
0.000233,3.9496,3.17106,0,1
0.000234,3.95079,3.16472,0,1
0.000235,3.95196,3.1584,0,1
0.000236,3.9531,3.15209,0,1
0.000237,3.95421,3.14579,0,1
0.000238,3.9553,3.13951,0,1
0.000239,3.95636,3.13323,0,1
0.00024,3.95739,3.12697,0,1
0.000241,3.95221,3.16021,1,0
0.000242,3.94707,3.19332,1,0
0.000243,3.94199,3.22634,1,0
0.000244,3.93695,3.25925,1,0
0.000245,3.93197,3.29205,1,0
0.000246,3.92705,3.32473,1,0
0.000247,3.92218,3.35729,1,0
0.000248,3.91736,3.38974,1,0
0.000249,3.91258,3.42208,1,0
0.00025,3.90786,3.4543,1,0
0.000251,3.90319,3.48642,1,0
0.000252,3.89856,3.51842,1,0
0.000253,3.89398,3.55032,1,0
0.000254,3.88945,3.5821,1,0
0.000255,3.88496,3.61378,1,0
0.000256,3.88052,3.64535,1,0
0.000257,3.87611,3.67681,1,0
0.000258,3.87175,3.70816,1,0
0.000259,3.86744,3.73941,1,0
0.00026,3.86316,3.77055,1,0
0.000261,3.85892,3.80159,1,0
0.000262,3.85472,3.83252,1,0
0.000263,3.85056,3.86336,1,0
0.000264,3.84644,3.89408,1,0
0.000265,3.84236,3.92471,1,0
0.000266,3.83831,3.95523,1,0
0.000267,3.8343,3.98565,1,0
0.000268,3.83032,4.01598,1,0
0.000269,3.82638,4.0462,1,0
0.00027,3.82247,4.07632,1,0
0.000271,3.81859,4.10634,1,0
0.000272,3.81475,4.13626,1,0
0.000273,3.81094,4.16609,1,0
0.000274,3.80716,4.19582,1,0
0.000275,3.80341,4.22545,1,0
0.000276,3.7997,4.25499,1,0
0.000277,3.79601,4.28443,1,0
0.000278,3.79235,4.31377,1,0
0.000279,3.78872,4.34302,1,0
0.00028,3.78512,4.37217,1,0
0.000281,3.78154,4.40123,1,0
0.000282,3.778,4.4302,1,0
0.000283,3.77448,4.45907,1,0
0.000284,3.77099,4.48785,1,0
0.000285,3.76752,4.51654,1,0
0.000286,3.76408,4.54514,1,0
0.000287,3.76066,4.57364,1,0
0.000288,3.75727,4.60205,1,0
0.000289,3.75391,4.63038,1,0
0.00029,3.75056,4.65861,1,0
0.000291,3.74724,4.68676,1,0
0.000292,3.74395,4.71481,1,0
0.000293,3.74067,4.74278,1,0
0.000294,3.73742,4.77065,1,0
0.000295,3.7342,4.79844,1,0
0.000296,3.73099,4.82614,1,0
0.000297,3.7278,4.85376,1,0
0.000298,3.72464,4.88128,1,0
0.000299,3.7215,4.90872,1,0
0.0003,3.71837,4.93608,1,0
0.000301,3.71527,4.96335,1,0
0.000302,3.71219,4.99053,1,0
0.000303,3.70912,5.01763,1,0
0.000304,3.70608,5.04464,1,0
0.000305,3.70305,5.07157,1,0
0.000306,3.70004,5.09842,1,0
0.000307,3.69705,5.12518,1,0
0.000308,3.69408,5.15186,1,0
0.000309,3.69113,5.17845,1,0
0.00031,3.6882,5.20497,1,0
0.000311,3.68528,5.2314,1,0
0.000312,3.68238,5.25775,1,0
0.000313,3.67949,5.28402,1,0
0.000314,3.67662,5.3102,1,0
0.000315,3.67377,5.33631,1,0
0.000316,3.67094,5.36233,1,0
0.000317,3.66812,5.38828,1,0
0.000318,3.66531,5.41414,1,0
0.000319,3.66253,5.43993,1,0
0.00032,3.65975,5.46563,1,0
0.000321,3.657,5.49126,1,0
0.000322,3.65425,5.51681,1,0
0.000323,3.65152,5.54228,1,0
0.000324,3.64881,5.56767,1,0
0.000325,3.64611,5.59298,1,0
0.000326,3.64342,5.61822,1,0
0.000327,3.64075,5.64338,1,0
0.000328,3.63809,5.66846,1,0
0.000329,3.63545,5.69347,1,0
0.00033,3.63282,5.7184,1,0
0.000331,3.6302,5.74325,1,0
0.000332,3.6276,5.76803,1,0
0.000333,3.625,5.79273,1,0
0.000334,3.62242,5.81736,1,0
0.000335,3.61986,5.84191,1,0
0.000336,3.6173,5.86639,1,0
0.000337,3.61476,5.89079,1,0
0.000338,3.61223,5.91512,1,0
0.000339,3.60971,5.93937,1,0
0.00034,3.60721,5.96356,1,0
0.000341,3.60471,5.98766,1,0
0.000342,3.60223,6.0117,1,0
0.000343,3.59976,6.03566,1,0
0.000344,3.5973,6.05955,1,0
0.000345,3.59485,6.08337,1,0
0.000346,3.59241,6.10712,1,0
0.000347,3.58999,6.13079,1,0
0.000348,3.58757,6.15439,1,0
0.000349,3.58516,6.17792,1,0
0.00035,3.58277,6.20138,1,0
0.000351,3.58039,6.22477,1,0
