Time,I(Le),I(L),Vc
0.000125,18.137,-1.14094,25.9804
0.000126,18.2476,-1.14035,26.367
0.000127,18.3574,-1.13955,26.7559
0.000128,18.4665,-1.13855,27.1469
0.000129,18.5748,-1.13735,27.5401
0.00013,18.6825,-1.13593,27.9354
0.000131,18.7894,-1.13431,28.3328
0.000132,18.8956,-1.13248,28.7323
0.000133,19.001,-1.13044,29.1339
0.000134,19.1057,-1.12819,29.5376
0.000135,19.2096,-1.12573,29.9433
0.000136,19.3128,-1.12305,30.351
0.000137,19.4153,-1.12017,30.7607
0.000138,19.517,-1.11707,31.1724
0.000139,19.618,-1.11375,31.586
0.00014,19.7182,-1.11022,32.0016
0.000141,19.8176,-1.10647,32.4192
0.000142,19.9163,-1.10251,32.8386
0.000143,20.0142,-1.09833,33.2599
0.000144,20.1113,-1.09393,33.6831
0.000145,20.2077,-1.08931,34.1081
0.000146,20.3033,-1.08447,34.5349
0.000147,20.3981,-1.07941,34.9636
0.000148,20.4921,-1.07413,35.394
0.000149,20.5854,-1.06863,35.8262
0.00015,20.6779,-1.0629,36.2602
0.000151,20.7696,-1.05696,36.6959
0.000152,20.8605,-1.05079,37.1332
0.000153,20.9506,-1.04439,37.5723
0.000154,21.04,-1.03777,38.013
0.000155,21.1285,-1.03092,38.4554
0.000156,21.2163,-1.02385,38.8994
0.000157,21.3032,-1.01655,39.345
0.000158,21.3894,-1.00903,39.7922
0.000159,21.4747,-1.00127,40.2409
0.00016,21.5593,-0.993288,40.6912
0.000161,21.643,-0.985076,41.143
0.000162,21.7259,-0.976634,41.5963
0.000163,21.8081,-0.967963,42.0511
0.000164,21.8894,-0.95906,42.5073
0.000165,21.9699,-0.949926,42.965
0.000166,22.0496,-0.940561,43.4241
0.000167,22.1284,-0.930963,43.8846
0.000168,22.2065,-0.921133,44.3465
0.000169,22.2837,-0.91107,44.8097
0.00017,22.3601,-0.900773,45.2743
0.000171,22.4357,-0.890242,45.7401
0.000172,22.5105,-0.879477,46.2073
0.000173,22.5844,-0.868477,46.6757
0.000174,22.6575,-0.857242,47.1454
0.000175,22.7298,-0.845772,47.6163
0.000176,22.8013,-0.834065,48.0884
0.000177,22.8719,-0.822122,48.5617
0.000178,22.9417,-0.809942,49.0362
0.000179,23.0107,-0.797525,49.5118
0.00018,23.0788,-0.784871,49.9885
0.000181,23.1461,-0.771979,50.4663
0.000182,23.2125,-0.758849,50.9452
0.000183,23.2781,-0.74548,51.4252
0.000184,23.3429,-0.731873,51.9061
