Time,I(L1),Vout
0.000165,-5.4147,13.501
0.000166,-5.4835,13.6972
0.000167,-5.5519,13.8957
0.000168,-5.61991,14.0966
0.000169,-5.68752,14.2998
0.00017,-5.75471,14.5053
0.000171,-5.82149,14.7131
0.000172,-5.88785,14.9231
0.000173,-5.9538,15.1353
0.000174,-6.01931,15.3497
0.000175,-5.92331,15.2917
0.000176,-5.82731,15.2339
0.000177,-5.73131,15.1763
0.000178,-5.63531,15.1189
0.000179,-5.53931,15.0618
0.00018,-5.44331,15.0048
0.000181,-5.50901,15.1971
0.000182,-5.57433,15.3916
0.000183,-5.63935,15.5878
0.000184,-5.70397,15.7862
0.000185,-5.7682,15.9868
0.000186,-5.83202,16.1895
0.000187,-5.89544,16.3943
0.000188,-5.95844,16.6012
0.000189,-6.02103,16.8102
0.00019,-6.0832,17.0212
0.000191,-6.14494,17.2342
0.000192,-6.20626,17.4493
0.000193,-6.26714,17.6662
0.000194,-6.32759,17.8852
0.000195,-6.23159,17.8176
0.000196,-6.13559,17.7503
0.000197,-6.03959,17.6832
0.000198,-5.94359,17.6163
0.000199,-5.84759,17.5497
0.0002,-5.75159,17.4834
0.000201,-5.81233,17.6801
0.000202,-5.87267,17.8788
0.000203,-5.93271,18.079
0.000204,-5.99235,18.2812
0.000205,-6.05158,18.4853
0.000206,-6.11041,18.6913
0.000207,-6.16882,18.8992
0.000208,-6.22681,19.1089
0.000209,-6.28438,19.3205
0.00021,-6.34152,19.5338
0.000211,-6.39824,19.749
0.000212,-6.45453,19.9659
0.000213,-6.51038,20.1845
0.000214,-6.56579,20.4048
0.000215,-6.46979,20.3277
0.000216,-6.37379,20.2509
0.000217,-6.27779,20.1744
0.000218,-6.18179,20.0981
0.000219,-6.08579,20.0221
0.00022,-5.98978,19.9464
0.000221,-6.04559,20.1445
0.000222,-6.10101,20.3443
0.000223,-6.15612,20.5454
0.000224,-6.21082,20.7483
0.000225,-6.26512,20.9528
0.000226,-6.31901,21.1591
0.000227,-6.37248,21.367
0.000228,-6.42554,21.5765
0.000229,-6.47817,21.7876
0.00023,-6.53039,22.0004
0.000231,-6.58217,22.2146
0.000232,-6.63353,22.4304
0.000233,-6.68445,22.6477
0.000234,-6.73493,22.8665
0.000235,-6.63893,22.7802
0.000236,-6.54293,22.6941
0.000237,-6.44693,22.6083
0.000238,-6.35093,22.5228
0.000239,-6.25493,22.4377
0.00024,-6.15893,22.3529
0.000241,-6.20993,22.5493
0.000242,-6.26053,22.7473
0.000243,-6.31084,22.9465
0.000244,-6.36075,23.1472
0.000245,-6.41025,23.3494
0.000246,-6.45935,23.5531
0.000247,-6.50804,23.7582
0.000248,-6.55631,23.9647
0.000249,-6.60417,24.1726
0.00025,-6.65162,24.3819
0.000251,-6.69864,24.5926
0.000252,-6.74525,24.8046
0.000253,-6.79142,25.0179
0.000254,-6.83717,25.2324
0.000255,-6.74117,25.1371
0.000256,-6.64517,25.0422
0.000257,-6.54917,24.9475
0.000258,-6.45317,24.8532
0.000259,-6.35717,24.7592
0.00026,-6.26117,24.6656
0.000261,-6.30755,24.8578
0.000262,-6.35355,25.0514
0.000263,-6.39925,25.246
0.000264,-6.44456,25.4419
0.000265,-6.48948,25.6391
0.000266,-6.534,25.8376
0.000267,-6.57813,26.0373
0.000268,-6.62185,26.2383
0.000269,-6.66517,26.4405
0.00027,-6.70809,26.6439
0.000271,-6.75059,26.8485
0.000272,-6.79269,27.0542
0.000273,-6.83438,27.2611
0.000274,-6.87565,27.469
0.000275,-6.77965,27.3652
0.000276,-6.68365,27.2619
0.000277,-6.58765,27.1588
0.000278,-6.49164,27.0561
0.000279,-6.39564,26.9538
0.00028,-6.29964,26.8519
0.000281,-6.34166,27.0375
0.000282,-6.38331,27.2242
0.000283,-6.42467,27.4118
0.000284,-6.46566,27.6006
0.000285,-6.50627,27.7905
0.000286,-6.54649,27.9815
0.000287,-6.58634,28.1736
0.000288,-6.6258,28.3668
0.000289,-6.66487,28.5611
0.00029,-6.70355,28.7564
0.000291,-6.74184,28.9526
0.000292,-6.77974,29.1499
0.000293,-6.81724,29.3481
0.000294,-6.85435,29.5473
0.000295,-6.75835,29.4357
0.000296,-6.66235,29.3245
0.000297,-6.56635,29.2136
0.000298,-6.47034,29.1032
0.000299,-6.37434,28.9932
0.0003,-6.27834,28.8836
0.000301,-6.31631,29.0603
0.000302,-6.35392,29.2381
0.000303,-6.39127,29.4167
0.000304,-6.42826,29.5963
0.000305,-6.46488,29.7769
0.000306,-6.50115,29.9584
0.000307,-6.53705,30.1409
0.000308,-6.57258,30.3243
0.000309,-6.60775,30.5087
0.00031,-6.64255,30.6939
0.000311,-6.67697,30.88
0.000312,-6.71102,31.067
0.000313,-6.7447,31.2547
0.000314,-6.778,31.4433
0.000315,-6.682,31.3246
0.000316,-6.586,31.2062
0.000317,-6.49,31.0883
0.000318,-6.394,30.9707
0.000319,-6.298,30.8536
0.00032,-6.202,30.737
0.000321,-6.23628,30.9032
0.000322,-6.27022,31.0703
0.000323,-6.30391,31.238
0.000324,-6.33727,31.4067
0.000325,-6.37029,31.5762
0.000326,-6.40296,31.7466
0.000327,-6.4353,31.9178
0.000328,-6.46729,32.0898
0.000329,-6.49894,32.2626
0.00033,-6.53024,32.4362
0.000331,-6.56119,32.6105
0.000332,-6.59179,32.7856
0.000333,-6.62205,32.9614
0.000334,-6.65195,33.1379
0.000335,-6.55595,33.0127
0.000336,-6.45995,32.888
0.000337,-6.36395,32.7637
0.000338,-6.26795,32.6398
0.000339,-6.17195,32.5164
0.00034,-6.07595,32.3935
0.000341,-6.10693,32.5476
0.000342,-6.1376,32.7025
0.000343,-6.16804,32.858
0.000344,-6.19817,33.0143
0.000345,-6.22798,33.1713
0.000346,-6.25748,33.3291
0.000347,-6.28666,33.4877
0.000348,-6.31553,33.647
0.000349,-6.34407,33.8069
0.00035,-6.3723,33.9676
0.000351,-6.4002,34.1289
0.000352,-6.42778,34.2908
0.000353,-6.45504,34.4534
0.000354,-6.48197,34.6166
0.000355,-6.38597,34.4859
0.000356,-6.28997,34.3556
0.000357,-6.19397,34.2257
0.000358,-6.09797,34.0964
0.000359,-6.00197,33.9674
0.00036,-5.90597,33.839
0.000361,-5.93408,33.9799
0.000362,-5.96191,34.1214
0.000363,-5.98952,34.2635
0.000364,-6.01685,34.4063
0.000365,-6.04389,34.5499
0.000366,-6.07065,34.694
0.000367,-6.09712,34.8389
0.000368,-6.12329,34.9844
0.000369,-6.14918,35.1305
0.00037,-6.17477,35.2773
0.000371,-6.20007,35.4246
0.000372,-6.22507,35.5725
0.000373,-6.24978,35.721
0.000374,-6.27418,35.8701
0.000375,-6.17818,35.7346
0.000376,-6.08218,35.5996
0.000377,-5.98618,35.465
0.000378,-5.89018,35.3309
0.000379,-5.79418,35.1973
0.00038,-5.69818,35.0643
0.000381,-5.72386,35.191
0.000382,-5.74929,35.3184
0.000383,-5.77453,35.4462
0.000384,-5.79951,35.5748
0.000385,-5.82423,35.704
0.000386,-5.84869,35.8338
0.000387,-5.87289,35.9642
0.000388,-5.89683,36.0952
0.000389,-5.92051,36.2268
0.00039,-5.94392,36.359
0.000391,-5.96707,36.4917
0.000392,-5.98995,36.625
0.000393,-6.01257,36.7588
0.000394,-6.03492,36.8931
0.000395,-5.93892,36.7537
0.000396,-5.84292,36.6149
0.000397,-5.74692,36.4765
0.000398,-5.65092,36.3386
0.000399,-5.55492,36.2012
0.0004,-5.45892,36.0643
0.000401,-5.48262,36.1763
0.000402,-5.5061,36.289
0.000403,-5.52941,36.4021
0.000404,-5.55249,36.5159
0.000405,-5.57534,36.6303
0.000406,-5.59797,36.7452
0.000407,-5.62036,36.8608
0.000408,-5.64252,36.9769
0.000409,-5.66445,37.0936
0.00041,-5.68615,37.2109
0.000411,-5.70761,37.3286
0.000412,-5.72883,37.4469
0.000413,-5.74982,37.5657
0.000414,-5.77057,37.685
0.000415,-5.67457,37.5427
0.000416,-5.57857,37.4009
0.000417,-5.48257,37.2595
0.000418,-5.38657,37.1186
0.000419,-5.29057,36.9783
0.00042,-5.19457,36.8385
0.000421,-5.21674,36.9355
0.000422,-5.23873,37.0332
0.000423,-5.26056,37.1314
0.000424,-5.2822,37.2302
0.000425,-5.30364,37.3295
0.000426,-5.32488,37.4295
0.000427,-5.34592,37.5301
0.000428,-5.36676,37.6312
0.000429,-5.38739,37.7329
0.00043,-5.40783,37.8351
0.000431,-5.42805,37.9378
0.000432,-5.44807,38.0411
0.000433,-5.46789,38.1449
0.000434,-5.48749,38.2492
0.000435,-5.39149,38.1048
0.000436,-5.29549,37.9608
0.000437,-5.19949,37.8173
0.000438,-5.10349,37.6743
