Time,I,V
0.000201,1.85556,6.61433
0.000202,1.89056,6.59477
0.000203,1.92556,6.57526
0.000204,1.96056,6.55581
0.000205,1.99556,6.53641
0.000206,2.03056,6.51707
0.000207,2.0253,6.60565
0.000208,2.01996,6.69368
0.000209,2.01457,6.78131
0.00021,2.00911,6.86838
0.000211,2.00358,6.9549
0.000212,1.99798,7.04087
0.000213,1.99231,7.12629
0.000214,1.98658,7.21115
0.000215,1.98078,7.29546
0.000216,1.97491,7.3792
0.000217,1.96897,7.46238
0.000218,1.96297,7.54499
0.000219,1.9569,7.62705
0.00022,1.95076,7.70853
0.000221,1.98576,7.68574
0.000222,2.02076,7.66302
0.000223,2.05576,7.64034
0.000224,2.09076,7.61774
0.000225,2.12576,7.5952
0.000226,2.16076,7.57273
0.000227,2.15465,7.66508
0.000228,2.14846,7.75683
0.000229,2.14222,7.84813
0.00023,2.1359,7.93882
0.000231,2.12952,8.02891
0.000232,2.12306,8.11839
0.000233,2.11653,8.20725
0.000234,2.10993,8.29551
0.000235,2.10325,8.38315
0.000236,2.09651,8.47017
0.000237,2.0897,8.55658
0.000238,2.08282,8.64236
0.000239,2.07587,8.72753
0.00024,2.06886,8.81207
0.000241,2.10386,8.78601
0.000242,2.13886,8.76004
0.000243,2.17386,8.73412
0.000244,2.20886,8.70828
0.000245,2.24386,8.68252
0.000246,2.27886,8.65683
0.000247,2.27188,8.75222
0.000248,2.26482,8.84696
0.000249,2.2577,8.94121
0.00025,2.25051,9.03479
0.000251,2.24325,9.12772
0.000252,2.23591,9.21998
0.000253,2.22849,9.31157
0.000254,2.22101,9.4025
0.000255,2.21345,9.49276
0.000256,2.20582,9.58234
0.000257,2.19812,9.67125
0.000258,2.19035,9.75949
0.000259,2.1825,9.84705
0.00026,2.17459,9.93393
0.000261,2.20959,9.90456
0.000262,2.24459,9.87528
0.000263,2.27959,9.84607
0.000264,2.31459,9.81694
0.000265,2.34959,9.78789
0.000266,2.38459,9.75893
0.000267,2.37672,9.85666
0.000268,2.36878,9.95368
0.000269,2.36078,10.0502
0.00027,2.3527,10.1459
0.000271,2.34454,10.241
0.000272,2.33631,10.3353
0.000273,2.32801,10.4289
0.000274,2.31963,10.5218
0.000275,2.31117,10.614
0.000276,2.30265,10.7055
0.000277,2.29404,10.7962
0.000278,2.28537,10.8862
0.000279,2.27663,10.9754
0.00028,2.26781,11.064
0.000281,2.30281,11.0313
0.000282,2.33781,10.9986
0.000283,2.37281,10.9661
0.000284,2.40781,10.9337
0.000285,2.44281,10.9013
0.000286,2.47781,10.8691
0.000287,2.46906,10.9684
0.000288,2.46022,11.067
0.000289,2.45133,11.1651
0.00029,2.44236,11.2624
0.000291,2.43331,11.3589
0.000292,2.42418,11.4546
0.000293,2.41498,11.5495
0.000294,2.4057,11.6437
0.000295,2.39635,11.7372
0.000296,2.38692,11.8298
0.000297,2.37742,11.9216
0.000298,2.36785,12.0127
0.000299,2.3582,12.103
