Time,iL,v,V1,V2
0.000162,3.53267,-3.88745,0,1
0.000163,3.62867,-3.87968,0,1
0.000164,3.72467,-3.87193,0,1
0.000165,3.82067,-3.8642,0,1
0.000166,3.91667,-3.85648,0,1
0.000167,4.01267,-3.84877,0,1
0.000168,4.10867,-3.84108,0,1
0.000169,4.20467,-3.83341,0,1
0.00017,4.30067,-3.82575,0,1
0.000171,4.39667,-3.8181,0,1
0.000172,4.49267,-3.81047,0,1
0.000173,4.58867,-3.80286,0,1
0.000174,4.68467,-3.79526,0,1
0.000175,4.78067,-3.78768,0,1
0.000176,4.87667,-3.78011,0,1
0.000177,4.97267,-3.77256,0,1
0.000178,5.06867,-3.76502,0,1
0.000179,5.16467,-3.7575,0,1
0.00018,5.26067,-3.74999,0,1
0.000181,5.35666,-3.7425,0,1
0.000182,5.45266,-3.73502,0,1
0.000183,5.54866,-3.72756,0,1
0.000184,5.64466,-3.72011,0,1
0.000185,5.74066,-3.71268,0,1
0.000186,5.83666,-3.70526,0,1
0.000187,5.93266,-3.69786,0,1
0.000188,6.02866,-3.69047,0,1
0.000189,6.12466,-3.6831,0,1
0.00019,6.22066,-3.67574,0,1
0.000191,6.31666,-3.66839,0,1
0.000192,6.41266,-3.66106,0,1
0.000193,6.50866,-3.65375,0,1
0.000194,6.60466,-3.64645,0,1
0.000195,6.70066,-3.63916,0,1
0.000196,6.79666,-3.63189,0,1
0.000197,6.89266,-3.62464,0,1
0.000198,6.98866,-3.61739,0,1
0.000199,7.08466,-3.61017,0,1
0.0002,7.18066,-3.60295,0,1
0.000201,7.27666,-3.59575,0,1
0.000202,7.37266,-3.58857,0,1
0.000203,7.46866,-3.5814,0,1
0.000204,7.56466,-3.57424,0,1
0.000205,7.66066,-3.5671,0,1
0.000206,7.75666,-3.55998,0,1
0.000207,7.85266,-3.55286,0,1
0.000208,7.94866,-3.54576,0,1
0.000209,8.04466,-3.53868,0,1
0.00021,8.14066,-3.53161,0,1
0.000211,8.23666,-3.52455,0,1
0.000212,8.33266,-3.51751,0,1
0.000213,8.42866,-3.51048,0,1
0.000214,8.52466,-3.50347,0,1
0.000215,8.62066,-3.49647,0,1
0.000216,8.71666,-3.48948,0,1
0.000217,8.81266,-3.48251,0,1
0.000218,8.90866,-3.47555,0,1
0.000219,9.00466,-3.46861,0,1
0.00022,9.10066,-3.46168,0,1
0.000221,9.19666,-3.45476,0,1
0.000222,9.29266,-3.44786,0,1
0.000223,9.38866,-3.44097,0,1
0.000224,9.48466,-3.4341,0,1
0.000225,9.58066,-3.42723,0,1
0.000226,9.67666,-3.42039,0,1
0.000227,9.77266,-3.41355,0,1
0.000228,9.86866,-3.40673,0,1
0.000229,9.96466,-3.39993,0,1
0.00023,10.0607,-3.39313,0,1
0.000231,10.1567,-3.38635,0,1
0.000232,10.2527,-3.37959,0,1
0.000233,10.3487,-3.37283,0,1
0.000234,10.4447,-3.3661,0,1
0.000235,10.5407,-3.35937,0,1
0.000236,10.6367,-3.35266,0,1
0.000237,10.7327,-3.34596,0,1
0.000238,10.8287,-3.33927,0,1
0.000239,10.9247,-3.3326,0,1
0.00024,11.0207,-3.32594,0,1
0.000241,11.0138,-3.42929,1,0
0.000242,11.0068,-3.53237,1,0
0.000243,10.9997,-3.63523,1,0
0.000244,10.9923,-3.73782,1,0
0.000245,10.9847,-3.84012,1,0
0.000246,10.9769,-3.94215,1,0
0.000247,10.9689,-4.04389,1,0
0.000248,10.9608,-4.14535,1,0
0.000249,10.9524,-4.24653,1,0
0.00025,10.9438,-4.34741,1,0
0.000251,10.935,-4.44801,1,0
0.000252,10.926,-4.54832,1,0
0.000253,10.9168,-4.64834,1,0
0.000254,10.9074,-4.74806,1,0
0.000255,10.8978,-4.84749,1,0
0.000256,10.888,-4.94663,1,0
0.000257,10.878,-5.04546,1,0
0.000258,10.8678,-5.144,1,0
0.000259,10.8574,-5.24224,1,0
0.00026,10.8468,-5.34018,1,0
0.000261,10.8361,-5.43782,1,0
0.000262,10.8251,-5.53515,1,0
0.000263,10.8139,-5.63218,1,0
0.000264,10.8026,-5.7289,1,0
0.000265,10.791,-5.82532,1,0
0.000266,10.7793,-5.92142,1,0
0.000267,10.7673,-6.01721,1,0
0.000268,10.7552,-6.1127,1,0
0.000269,10.7429,-6.20787,1,0
0.00027,10.7304,-6.30272,1,0
0.000271,10.7177,-6.39726,1,0
0.000272,10.7048,-6.49149,1,0
0.000273,10.6917,-6.58539,1,0
0.000274,10.6784,-6.67898,1,0
0.000275,10.665,-6.77224,1,0
0.000276,10.6513,-6.86519,1,0
0.000277,10.6375,-6.95781,1,0
0.000278,10.6235,-7.05011,1,0
0.000279,10.6093,-7.14208,1,0
0.00028,10.5949,-7.23372,1,0
0.000281,10.5804,-7.32504,1,0
0.000282,10.5656,-7.41603,1,0
0.000283,10.5507,-7.50669,1,0
0.000284,10.5356,-7.59702,1,0
0.000285,10.5203,-7.68701,1,0
0.000286,10.5049,-7.77668,1,0
0.000287,10.4892,-7.866,1,0
0.000288,10.4734,-7.95499,1,0
0.000289,10.4574,-8.04365,1,0
0.00029,10.4412,-8.13197,1,0
0.000291,10.4249,-8.21995,1,0
0.000292,10.4083,-8.30758,1,0
0.000293,10.3916,-8.39488,1,0
0.000294,10.3748,-8.48184,1,0
0.000295,10.3577,-8.56845,1,0
0.000296,10.3405,-8.65472,1,0
0.000297,10.3231,-8.74064,1,0
0.000298,10.3055,-8.82622,1,0
0.000299,10.2878,-8.91145,1,0
0.0003,10.2699,-8.99633,1,0
0.000301,10.2518,-9.08086,1,0
0.000302,10.2336,-9.16504,1,0
0.000303,10.2151,-9.24887,1,0
0.000304,10.1966,-9.33235,1,0
0.000305,10.1778,-9.41547,1,0
0.000306,10.1589,-9.49824,1,0
0.000307,10.1398,-9.58065,1,0
0.000308,10.1206,-9.66271,1,0
0.000309,10.1012,-9.74441,1,0
0.00031,10.0816,-9.82576,1,0
0.000311,10.0619,-9.90674,1,0
0.000312,10.042,-9.98737,1,0
0.000313,10.0219,-10.0676,1,0
0.000314,10.0017,-10.1475,1,0
0.000315,9.98133,-10.2271,1,0
0.000316,9.9608,-10.3063,1,0
0.000317,9.94011,-10.3851,1,0
0.000318,9.91926,-10.4635,1,0
0.000319,9.89825,-10.5416,1,0
0.00032,9.87709,-10.6193,1,0
0.000321,9.85577,-10.6967,1,0
0.000322,9.8343,-10.7736,1,0
0.000323,9.81268,-10.8503,1,0
0.000324,9.7909,-10.9265,1,0
0.000325,9.76897,-11.0024,1,0
0.000326,9.74689,-11.0779,1,0
0.000327,9.72466,-11.153,1,0
0.000328,9.70228,-11.2277,1,0
0.000329,9.67975,-11.3021,1,0
0.00033,9.65707,-11.3761,1,0
0.000331,9.63425,-11.4498,1,0
0.000332,9.61127,-11.523,1,0
0.000333,9.58815,-11.5959,1,0
0.000334,9.56489,-11.6684,1,0
0.000335,9.54148,-11.7405,1,0
0.000336,9.51793,-11.8123,1,0
0.000337,9.49423,-11.8836,1,0
0.000338,9.47039,-11.9546,1,0
0.000339,9.44641,-12.0252,1,0
0.00034,9.42229,-12.0954,1,0
0.000341,9.39803,-12.1653,1,0
0.000342,9.37363,-12.2347,1,0
0.000343,9.34909,-12.3038,1,0
0.000344,9.32442,-12.3725,1,0
0.000345,9.2996,-12.4408,1,0
0.000346,9.27465,-12.5087,1,0
0.000347,9.24957,-12.5763,1,0
0.000348,9.22435,-12.6434,1,0
